0.3104808912	-0.2048154101	-0.0381045263	-0.3809066688
-0.2580609219	0.3706980923	-0.2740883673	-0.2456516640
0.5410797675	-2.3979399005	-0.5346171475	-0.6420651515
-1.1191864024	-0.6270879956	-1.0362121684	0.5558196827
-0.2518119727	-0.7351821751	0.3902283622	-0.0969100129
-2.3979399005	0.5990092395	-2.3979399005	-1.6989699831
0.5563025005	-2.3979399005	-0.8068753993	-0.6197887569
-2.3979399005	-0.7447274929	-2.3979399005	0.5811528916
-0.3487219855	-0.7258421489	0.5263392771	-2.3979399005
-0.2048154101	0.2796669438	-1.0362121684	0.1398790863
0.4924810098	-0.7351821751	-0.4294570594	-0.4736607218
-0.9208187508	-0.0675262352	-2.3979399005	0.4800069427
